numero_artigo,caput
18,"da Constituição, DECRETA a seguinte Lei: P ARTE GERAL TÍTULO I – Da Aplicação da Lei Penal Anterioridade da Lei"
1,Não há crime sem lei anterior que o defina. Não há pena sem prévia cominação legal. Lei penal no tempo
2,"Ninguém pode ser punido por fato que lei posterior deixa de considerar crime, cessando em virtude dela a execução e os efeitos penais da sentença condenatória. Parágrafo único . A lei posterior, que de qualquer modo favorecer o agente, aplica-se aos fatos anteriores, ainda que decididos por sentença condenatória transitada em julgado. Lei excepcional ou temporária"
3,"A lei excepcional ou temporária, embora decorrido o período de sua duração ou cessadas as circunstâncias que a determinaram, aplica-se ao fato praticado durante sua vigência.11 Decreto-Lei no 2.848/1940 Tempo do crime"
4,"Considera-se praticado o crime no momento da ação ou omissão, ainda que outro seja o momento do resultado. Territorialidade"
5,"Aplica-se a lei brasileira, sem prejuízo de convenções, tratados e regras de direito internacional, ao crime cometido no território nacional."
6,"Considera-se praticado o crime no lugar em que ocorreu a ação ou omissão, no todo ou em parte, bem como onde se produziu ou deveria produzir-se o resultado. Extraterritorialidade"
7,"Ficam sujeitos à lei brasileira, embora cometidos no estrangeiro: I – os crimes: a) contra a vida ou a liberdade do Presidente da República; b) contra o patrimônio ou a fé pública da União, do Distrito Federal, de Estado, de Território, de Município, de empresa pública, sociedade de economia mista, autarquia ou fundação instituída pelo Poder Público;12 Código Penal c) contra a administração pública, por quem está a seu serviço; d) de genocídio, quando o agente for brasileiro ou domiciliado no Brasil; II – os crimes: a) que, por tratado ou convenção, o Brasil se obrigou a reprimir; b) praticados por brasileiro; c) praticados em aeronaves ou embarcações brasileiras, mercantes ou de propriedade privada, quando em território estrangeiro e aí não sejam julgados."
8,"A pena cumprida no estrangeiro atenua a pena imposta no Brasil pelo mesmo crime, quando diversas, ou nela é computada, quando idênticas.13 Decreto-Lei no 2.848/1940 Eficácia de sentença estrangeira"
9,"A sentença estrangeira, quando a aplicação da lei brasileira produz na espécie as mesmas consequências, pode ser homologada no Brasil para: I – obrigar o condenado à reparação do dano, a restituições e a outros efeitos civis; II – sujeitá-lo a medida de segurança. Parágrafo único . A homologação depende: a) para os efeitos previstos no inciso I, de pedido da parte interessada; b) para os outros efeitos, da existência de tratado de extradição com o país de cuja autoridade judiciária emanou a sentença, ou, na falta de tratado, de requisição do Ministro da Justiça. Contagem de prazo"
10,"O dia do começo inclui-se no cômputo do prazo. Contam-se os dias, os meses e os anos pelo calendário comum. Frações não computáveis da pena"
11,"Desprezam-se, nas penas privativas de liberdade e nas restritivas de direitos, as frações de dia, e, na pena de multa, as frações de cruzeiro. Legislação especial"
12,"As regras gerais deste Código aplicam-se aos fatos incriminados por lei especial, se esta não dispuser de modo diverso.14 Código Penal TÍTULO II – Do Crime Relação de causalidade"
13,"O resultado, de que depende a existência do crime, somente é imputável a quem lhe deu causa. Considera-se causa a ação ou omissão sem a qual o resultado não teria ocorrido. Superveniência de causa independente"
14,"Diz-se o crime: Crime consumado I – consumado, quando nele se reúnem todos os elementos de sua definição legal; Tentativa II – tentado, quando, iniciada a execução, não se consuma por circuns - tâncias alheias à vontade do agente."
15,"O agente que, voluntariamente, desiste de prosseguir na execução ou impede que o resultado se produza, só responde pelos atos já praticados. Arrependimento posterior"
16,"Nos crimes cometidos sem violência ou grave ameaça à pessoa, reparado o dano ou restituída a coisa, até o recebimento da denúncia ou da queixa, por ato voluntário do agente, a pena será reduzida de um a dois terços. Crime impossível"
17,"Não se pune a tentativa quando, por ineficácia absoluta do meio ou por absoluta impropriedade do objeto, é impossível consumar-se o crime."
19,"Pelo resultado que agrava especialmente a pena, só responde o agente que o houver causado ao menos culposamente.16 Código Penal Erro sobre elementos do tipo"
20,"O erro sobre elemento constitutivo do tipo legal de crime exclui o dolo, mas permite a punição por crime culposo, se previsto em lei. Descriminantes putativas"
21,"O desconhecimento da lei é inescusável. O erro sobre a ilicitude do fato, se inevitável, isenta de pena; se evitável, poderá diminuí-la de um sexto a um terço. Parágrafo único . Considera-se evitável o erro se o agente atua ou se omite sem a consciência da ilicitude do fato, quando lhe era possível, nas circunstâncias, ter ou atingir essa consciência. Coação irresistível e obediência hierárquica"
22,"Se o fato é cometido sob coação irresistível ou em estrita obe - diência a ordem, não manifestamente ilegal, de superior hierárquico, só é punível o autor da coação ou da ordem.17 Decreto-Lei no 2.848/1940 Exclusão de ilicitude"
23,"Não há crime quando o agente pratica o fato: I – em estado de necessidade; II – em legítima defesa; III – em estrito cumprimento de dever legal ou no exercício regular de direito. Excesso punível Parágrafo único . O agente, em qualquer das hipóteses deste artigo, responderá pelo excesso doloso ou culposo. Estado de necessidade"
24,"Considera-se em estado de necessidade quem pratica o fato para salvar de perigo atual, que não provocou por sua vontade, nem podia de outro modo evitar, direito próprio ou alheio, cujo sacrifício, nas circuns - tâncias, não era razoável exigir-se."
25,"Entende-se em legítima defesa quem, usando moderadamente dos meios necessários, repele injusta agressão, atual ou iminente, a direito seu ou de outrem.18 Código Penal TÍTULO III – Da Imputabilidade Penal Inimputáveis"
26,"É isento de pena o agente que, por doença mental ou desenvol - vimento mental incompleto ou retardado, era, ao tempo da ação ou da omissão, inteiramente incapaz de entender o caráter ilícito do fato ou de determinar-se de acordo com esse entendimento. Redução de pena Parágrafo único . A pena pode ser reduzida de um a dois terços, se o agente, em virtude de perturbação de saúde mental ou por desenvolvimento mental incompleto ou retardado não era inteiramente capaz de entender o caráter ilícito do fato ou de determinar-se de acordo com esse entendimento. Menores de dezoito anos"
27,"Os menores de 18 (dezoito) anos são penalmente inimputáveis, ficando sujeitos às normas estabelecidas na legislação especial. Emoção e paixão"
28,"Não excluem a imputabilidade penal: I – a emoção ou a paixão; Embriaguez II – a embriaguez, voluntária ou culposa, pelo álcool ou substância de efeitos análogos."
29,"Quem, de qualquer modo, concorre para o crime incide nas penas a este cominadas, na medida de sua culpabilidade."
30,"Não se comunicam as circunstâncias e as condições de caráter pessoal, salvo quando elementares do crime. Casos de impunibilidade"
31,"O ajuste, a determinação ou instigação e o auxílio, salvo dispo - sição expressa em contrário, não são puníveis, se o crime não chega, pelo menos, a ser tentado. TÍTULO V – Das Penas CAPÍTULO I – Das Espécies de Pena"
32,As penas são: I – privativas de liberdade; II – restritivas de direitos;20 Código Penal III – de multa. SEÇÃO I – Das Penas Privativas de Liberdade Reclusão e detenção
33,"A pena de reclusão deve ser cumprida em regime fechado, semia - berto ou aberto. A de detenção, em regime semiaberto, ou aberto, salvo necessidade de transferência a regime fechado."
34,"O condenado será submetido, no início do cumprimento da pena, a exame criminológico de classificação para individualização da execução."
35,"Aplica-se a norma do art. 34 deste Código, caput , ao condenado que inicie o cumprimento da pena em regime semiaberto."
36,O regime aberto baseia-se na autodisciplina e senso de respon - sabilidade do condenado.
37,"As mulheres cumprem pena em estabelecimento próprio, obser - vando-se os deveres e direitos inerentes à sua condição pessoal, bem como, no que couber, o disposto neste Capítulo. Direitos do preso"
38,"O preso conserva todos os direitos não atingidos pela perda da liberdade, impondo-se a todas as autoridades o respeito à sua integridade física e moral. Trabalho do preso"
39,"O trabalho do preso será sempre remunerado, sendo-lhe garan - tidos os benefícios da Previdência Social. Legislação especial"
40,"A legislação especial regulará a matéria prevista nos arts. 38 e 39 deste Código, bem como especificará os deveres e direitos do preso, os critérios para revogação e transferência dos regimes e estabelecerá as infrações disciplinares e correspondentes sanções. Superveniência de doença mental"
41,"O condenado a quem sobrevém doença mental deve ser reco - lhido a hospital de custódia e tratamento psiquiátrico ou, à falta, a outro estabelecimento adequado. Detração"
42,"Computam-se, na pena privativa de liberdade e na medida de segurança, o tempo de prisão provisória, no Brasil ou no estrangeiro, o de 23 Decreto-Lei no 2.848/1940 prisão administrativa e o de internação em qualquer dos estabelecimentos referidos no artigo anterior. SEÇÃO II – Das Penas Restritivas de Direitos"
43,As penas restritivas de direitos são: I – prestação pecuniária; II – perda de bens e valores; III – (Vetado); IV – prestação de serviço à comunidade ou a entidades públicas; V – interdição temporária de direitos; VI – limitação de fim de semana.
44,"As penas restritivas de direitos são autônomas e substituem as privativas de liberdade, quando: I – aplicada pena privativa de liberdade não superior a quatro anos e o crime não for cometido com violência ou grave ameaça à pessoa ou, qualquer que seja a pena aplicada, se o crime for culposo; II – o réu não for reincidente em crime doloso; III – a culpabilidade, os antecedentes, a conduta social e a personalidade do condenado, bem como os motivos e as circunstâncias indicarem que essa substituição seja suficiente."
45,"Na aplicação da substituição prevista no artigo anterior, proceder- se-á na forma deste e dos arts. 46, 47 e 48."
46,A prestação de serviços à comunidade ou a entidades públicas é aplicável às condenações superiores a seis meses de privação da liberdade.25 Decreto-Lei no 2.848/1940
47,"As penas de interdição temporária de direitos são: I – proibição do exercício de cargo, função ou atividade pública, bem como de mandato eletivo; II – proibição do exercício de profissão, atividade ou ofício que depen - dam de habilitação especial, de licença ou autorização do poder público; III – suspensão de autorização ou de habilitação para dirigir veículo. IV – proibição de frequentar determinados lugares. V – proibição de inscrever-se em concurso, avaliação ou exame públicos. Limitação de fim de semana"
48,"A limitação de fim de semana consiste na obrigação de perma - necer, aos sábados e domingos, por 5 (cinco) horas diárias, em casa de albergado ou outro estabelecimento adequado. Parágrafo único . Durante a permanência poderão ser ministrados ao condenado cursos e palestras ou atribuídas atividades educativas.26 Código Penal SEÇÃO III – Da Pena de Multa Multa"
49,"A pena de multa consiste no pagamento ao fundo penitenciário da quantia fixada na sentença e calculada em dias-multa. Será, no mínimo, de 10 (dez) e, no máximo, de 360 (trezentos e sessenta) dias-multa."
50,"A multa deve ser paga dentro de 10 (dez) dias depois de transi - tada em julgado a sentença. A requerimento do condenado e conforme as circunstâncias, o juiz pode permitir que o pagamento se realize em parcelas mensais."
51,"Transitada em julgado a sentença condenatória, a multa será considerada dívida de valor, aplicando-se-lhes as normas da legislação 27 Decreto-Lei no 2.848/1940 relativa à dívida ativa da Fazenda Pública, inclusive no que concerne às causas interruptivas e suspensivas da prescrição."
52,"É suspensa a execução da pena de multa, se sobrevém ao conde - nado doença mental. CAPÍTULO II – Da Cominação das Penas"
53,As penas privativas de liberdade têm seus limites estabelecidos na sanção correspondente a cada tipo legal de crime.
54,"As penas restritivas de direitos são aplicáveis, independentemente de cominação na parte especial, em substituição à pena privativa de liber - dade, fixada em quantidade inferior a 1 (um) ano, ou nos crimes culposos."
55,"As penas restritivas de direitos referidas nos incisos III, IV , V e VI do art. 43 terão a mesma duração da pena privativa de liberdade substituída, ressalvado o disposto no § 4o do art. 46."
56,"As penas de interdição, previstas nos incisos I e II do art. 47 deste Código, aplicam-se para todo o crime cometido no exercício de profissão, atividade, ofício, cargo ou função, sempre que houver violação dos deveres que lhes são inerentes.28 Código Penal"
57,"A pena de interdição, prevista no inciso III do art. 47 deste Código, aplica-se aos crimes culposos de trânsito."
58,"A multa, prevista em cada tipo legal de crime, tem os limites fixados no art. 49 e seus parágrafos deste Código. Parágrafo único . A multa prevista no parágrafo único do art. 44 e no"
59,"O juiz, atendendo à culpabilidade, aos antecedentes, à conduta social, à personalidade do agente, aos motivos, às circunstâncias e conse - quências do crime, bem como ao comportamento da vítima, estabelecerá, conforme seja necessário e suficiente para reprovação e prevenção do crime: I – as penas aplicáveis dentre as cominadas; II – a quantidade de pena aplicável, dentro dos limites previstos; III – o regime inicial de cumprimento da pena privativa de liberdade; IV – a substituição da pena privativa da liberdade aplicada, por outra espécie de pena, se cabível. Critérios especiais da pena de multa"
60,"Na fixação da pena de multa o juiz deve atender, principalmente, à situação econômica do réu."
61,"São circunstâncias que sempre agravam a pena, quando não constituem ou qualificam o crime: I – a reincidência; II – ter o agente cometido o crime: a) por motivo fútil ou torpe; b) para facilitar ou assegurar a execução, a ocultação, a impunidade ou vantagem de outro crime; c) à traição, de emboscada, ou mediante dissimulação, ou outro recurso que dificultou ou tornou impossível a defesa do ofendido; d) com emprego de veneno, fogo, explosivo, tortura ou outro meio insidioso ou cruel, ou de que podia resultar perigo comum; e) contra ascendente, descendente, irmão ou cônjuge; f) com abuso de autoridade ou prevalecendo-se de relações domésticas, de coabitação ou de hospitalidade, ou com violência contra a mulher na forma da lei específica; g) com abuso de poder ou violação de dever inerente a cargo, ofício, ministério ou profissão; h) contra criança, maior de 60 (sessenta) anos, enfermo ou mulher grávida; i) quando o ofendido estava sob a imediata proteção da autoridade; j) em ocasião de incêndio, naufrágio, inundação ou qualquer calami - dade pública, ou de desgraça particular do ofendido; l) em estado de embriaguez preordenada. Agravantes no caso de concurso de pessoas"
62,"A pena será ainda agravada em relação ao agente que:30 Código Penal I – promove, ou organiza a cooperação no crime ou dirige a atividade dos demais agentes; II – coage ou induz outrem à execução material do crime; III – instiga ou determina a cometer o crime alguém sujeito à sua autoridade ou não punível em virtude de condição ou qualidade pessoal; IV – executa o crime, ou nele participa, mediante paga ou promessa de recompensa. Reincidência"
63,"Verifica-se a reincidência quando o agente comete novo crime, depois de transitar em julgado a sentença que, no País ou no estrangeiro, o tenha condenado por crime anterior."
64,"Para efeito de reincidência: I – não prevalece a condenação anterior, se entre a data do cumprimento ou extinção da pena e a infração posterior tiver decorrido período de tempo superior a 5 (cinco) anos, computado o período de prova da suspensão ou do livramento condicional, se não ocorrer revogação; II – não se consideram os crimes militares próprios e políticos. Circunstâncias atenuantes"
65,"São circunstâncias que sempre atenuam a pena: I – ser o agente menor de 21 (vinte e um), na data do fato, ou maior de 70 (setenta) anos, na data da sentença; II – o desconhecimento da lei; III – ter o agente: a) cometido o crime por motivo de relevante valor social ou moral; b) procurado, por sua espontânea vontade e com eficiência, logo após o crime, evitar-lhe ou minorar-lhe as consequências, ou ter, antes do jul - gamento, reparado o dano;31 Decreto-Lei no 2.848/1940 c) cometido o crime sob coação a que podia resistir, ou em cumprimento de ordem de autoridade superior, ou sob a influência de violenta emoção, provocada por ato injusto da vítima; d) confessado espontaneamente, perante a autoridade, a autoria do crime; e) cometido o crime sob a influência de multidão em tumulto, se não o provocou."
66,"A pena poderá ser ainda atenuada em razão de circunstância relevante, anterior ou posterior ao crime, embora não prevista expressa - mente em lei. Concurso de circunstâncias agravantes e atenuantes"
67,"No concurso de agravantes e atenuantes, a pena deve aproximar- se do limite indicado pelas circunstâncias preponderantes, entendendo-se como tais as que resultam dos motivos determinantes do crime, da perso - nalidade do agente e da reincidência. Cálculo da pena"
68,"A pena-base será fixada atendendo-se ao critério do art. 59 deste Código; em seguida serão consideradas as circunstâncias atenuantes e agravantes; por último, as causas de diminuição e de aumento. Parágrafo único . No concurso de causas de aumento ou de diminuição previstas na parte especial, pode o juiz limitar-se a um só aumento ou a uma só diminuição, prevalecendo, todavia, a causa que mais aumente ou diminua. Concurso material"
69,"Quando o agente, mediante mais de uma ação ou omissão, pra - tica dois ou mais crimes, idênticos ou não, aplicam-se cumulativamente as 32 Código Penal"
70,"Quando o agente, mediante uma só ação ou omissão, pratica dois ou mais crimes, idênticos ou não, aplica-se-lhe a mais grave das penas cabí - veis ou, se iguais, somente uma delas, mas aumentada, em qualquer caso, de um sexto até metade. As penas aplicam-se, entretanto, cumulativamente, se a ação ou omissão é dolosa e os crimes concorrentes resultam de desígnios autônomos, consoante o disposto no artigo anterior. Parágrafo único . Não poderá a pena exceder a que seria cabível pela regra do art. 69 deste Código. Crime continuado"
71,"Quando o agente, mediante mais de uma ação ou omissão, pratica dois ou mais crimes da mesma espécie e, pelas condições de tempo, lugar, maneira de execução e outras semelhantes, devem os subsequentes ser havidos como continuação do primeiro, aplica-se-lhe a pena de um só dos crimes, se idênticas, ou a mais grave, se diversas, aumentada, em qualquer caso, de um sexto a dois terços. Parágrafo único . Nos crimes dolosos, contra vítimas diferentes, cometi - dos com violência ou grave ameaça à pessoa, poderá o juiz, considerando a culpabilidade, os antecedentes, a conduta social e a personalidade do agente, bem como os motivos e as circunstâncias, aumentar a pena de um só dos crimes, se idênticas, ou a mais grave, se diversas, até o triplo, observadas as regras do parágrafo único do art. 70 e do art. 75 deste Código.33 Decreto-Lei no 2.848/1940 Multas no concurso de crimes"
72,"No concurso de crimes, as penas de multa são aplicadas distinta e integralmente. Erro na execução"
73,"Quando, por acidente ou erro no uso dos meios de execução, o agente, ao invés de atingir a pessoa que pretendia ofender, atinge pes - soa diversa, responde como se tivesse praticado o crime contra aquela, atendendo-se ao disposto no § 3o do art. 20 deste Código. No caso de ser também atingida a pessoa que o agente pretendia ofender, aplica-se a regra do art. 70 deste Código. Resultado diverso do pretendido"
74,"Fora dos casos do artigo anterior, quando, por acidente ou erro na execução do crime, sobrevém resultado diverso do pretendido, o agente responde por culpa, se o fato é previsto como crime culposo; se ocorre também o resultado pretendido, aplica-se a regra do art. 70 deste Código. Limite das penas"
75,O tempo de cumprimento das penas privativas de liberdade não pode ser superior a 30 (trinta) anos.
76,"No concurso de infrações, executar-se-á primeiramente a pena mais grave. CAPÍTULO IV – Da Suspensão Condicional da Pena Requisitos da suspensão da pena"
77,"A execução da pena privativa de liberdade, não superior a 2 (dois) anos, poderá ser suspensa, por 2 (dois) a 4 (quatro) anos, desde que: I – o condenado não seja reincidente em crime doloso; II – a culpabilidade, os antecedentes, a conduta social e personalidade do agente, bem como os motivos e as circunstâncias autorizem a concessão do benefício; III – não seja indicada ou cabível a substituição prevista no art. 44 deste Código."
78,"Durante o prazo da suspensão, o condenado ficará sujeito à ob - servação e ao cumprimento das condições estabelecidas pelo juiz."
79,"A sentença poderá especificar outras condições a que fica subor - dinada a suspensão, desde que adequadas ao fato e à situação pessoal do condenado."
80,A suspensão não se estende às penas restritivas de direitos nem à multa. Revogação obrigatória
81,"A suspensão será revogada se, no curso do prazo, o beneficiário: I – é condenado, em sentença irrecorrível, por crime doloso; II – frustra, embora solvente, a execução de pena de multa ou não efetua, sem motivo justificado, a reparação do dano; III – descumpre a condição do § 1o do art. 78 deste Código. Revogação facultativa"
82,"Expirado o prazo sem que tenha havido revogação, considera-se extinta a pena privativa de liberdade. CAPÍTULO V – Do Livramento Condicional Requisitos do livramento condicional"
83,O juiz poderá conceder livramento condicional ao condenado a
84,As penas que correspondem a infrações diversas devem somar-se para efeito do livramento.37 Decreto-Lei no 2.848/1940 Especificações das condições
85,A sentença especificará as condições a que fica subordinado o livramento. Revogação do livramento
86,"Revoga-se o livramento, se o liberado vem a ser condenado a pena privativa de liberdade, em sentença irrecorrível: I – por crime cometido durante a vigência do benefício; II – por crime anterior, observado o disposto no art. 84 deste Código. Revogação facultativa"
87,"O juiz poderá, também, revogar o livramento, se o liberado deixar de cumprir qualquer das obrigações constantes da sentença, ou for irrecorrivelmente condenado, por crime ou contravenção, a pena que não seja privativa de liberdade. Efeitos da revogação"
88,"Revogado o livramento, não poderá ser novamente concedido, e, salvo quando a revogação resulta de condenação por outro crime anterior àquele benefício, não se desconta na pena o tempo em que esteve solto o condenado. Extinção"
89,"O juiz não poderá declarar extinta a pena, enquanto não passar em julgado a sentença em processo a que responde o liberado, por crime cometido na vigência do livramento."
90,"Se até o seu término o livramento não é revogado, considera-se extinta a pena privativa de liberdade.38 Código Penal CAPÍTULO VI – Dos Efeitos da Condenação Efeitos genéricos e específicos"
91,"São efeitos da condenação: I – tornar certa a obrigação de indenizar o dano causado pelo crime; II – a perda em favor da União, ressalvado o direito do lesado ou de terceiro de boa-fé: a) dos instrumentos do crime, desde que consistam em coisas cujo fabrico, alienação, uso, porte ou detenção constitua fato ilícito; b) do produto do crime ou de qualquer bem ou valor que constitua proveito auferido pelo agente com a prática do fato criminoso."
92,"São também efeitos da condenação: I – a perda de cargo, função pública ou mandato eletivo: a) quando aplicada pena privativa de liberdade por tempo igual ou superior a um ano, nos crimes praticados com abuso de poder ou violação de dever para com a Administração Pública; b) quando for aplicada pena privativa de liberdade por tempo superior a 4 (quatro) anos nos demais casos; II – a incapacidade para o exercício do pátrio poder, tutela ou curatela, nos crimes dolosos, sujeitos à pena de reclusão, cometidos contra filho, tutelado ou curatelado; III – a inabilitação para dirigir veículo, quando utilizado como meio para a prática de crime doloso. Parágrafo único . Os efeitos de que trata este artigo não são automáticos, devendo ser motivadamente declarados na sentença.39 Decreto-Lei no 2.848/1940 CAPÍTULO VII – Da Reabilitação Reabilitação"
93,"A reabilitação alcança quaisquer penas aplicadas em sentença definitiva, assegurando ao condenado o sigilo dos registros sobre o seu processo e condenação. Parágrafo único . A reabilitação poderá, também, atingir os efeitos da condenação, previstos no art. 92 deste Código, vedada reintegração na situação anterior, nos casos dos incisos I e II do mesmo artigo."
94,"A reabilitação poderá ser requerida, decorridos 2 (dois) anos do dia em que for extinta, de qualquer modo, a pena ou terminar sua execu - ção, computando-se o período de prova da suspensão e o do livramento condicional, se não sobrevier revogação, desde que o condenado: I – tenha tido domicílio no País no prazo acima referido; II – tenha dado, durante esse tempo, demonstração efetiva e constante de bom comportamento público e privado; III – tenha ressarcido o dano causado pelo crime ou demonstre a abso - luta impossibilidade de o fazer, até o dia do pedido, ou exiba documento que comprove a renúncia da vítima ou novação da dívida. Parágrafo único . Negada a reabilitação, poderá ser requerida, a qualquer tempo, desde que o pedido seja instruído com novos elementos compro - batórios dos requisitos necessários."
95,"A reabilitação será revogada, de ofício ou a requerimento do Ministério Público, se o reabilitado for condenado, como reincidente, por decisão definitiva, a pena que não seja de multa.40 Código Penal TÍTULO VI – Das Medidas de Segurança Espécies de medidas de segurança"
96,"As medidas de segurança são: I – internação em hospital de custódia e tratamento psiquiátrico ou, à falta, em outro estabelecimento adequado; II – sujeição a tratamento ambulatorial. Parágrafo único . Extinta a punibilidade, não se impõe medida de segu - rança nem subsiste a que tenha sido imposta. Imposição da medida de segurança para inimputável"
97,"Se o agente for inimputável, o juiz determinará sua internação (art. 26). Se, todavia, o fato previsto como crime for punível com detenção, poderá o juiz submetê-lo a tratamento ambulatorial. Prazo"
98,"Na hipótese do parágrafo único do art. 26 deste Código e neces - sitando o condenado de especial tratamento curativo, a pena privativa de liberdade pode ser substituída pela internação, ou tratamento ambulatorial, pelo prazo mínimo de 1 (um) a 3 (três) anos, nos termos do artigo anterior e respectivos §§ 1o a 4o. Direitos do internado"
99,O internado será recolhido a estabelecimento dotado de carac - terísticas hospitalares e será submetido a tratamento. TÍTULO VII – Da Ação Penal Ação pública e de iniciativa privada
100,"A ação penal é pública, salvo quando a lei expressamente a declara privativa do ofendido."
101,"Quando a lei considera como elemento ou circunstâncias do tipo legal fatos que, por si mesmos, constituem crimes, cabe ação pública em relação àquele, desde que, em relação a qualquer destes, se deva proceder por iniciativa do Ministério Público. Irretratabilidade da representação"
102,A representação será irretratável depois de oferecida a denúncia. Decadência do direito de queixa ou de representação
103,"Salvo disposição expressa em contrário, o ofendido decai do direito de queixa ou de representação se não o exerce dentro do prazo de 6 (seis) meses, contado do dia em que veio a saber quem é o autor do crime, ou, no caso do § 3o do art. 100 deste Código, do dia em que se esgota o prazo para oferecimento da denúncia. Renúncia expressa ou tácita do direito de queixa"
104,"O direito de queixa não pode ser exercido quando renunciado expressa ou tacitamente. Parágrafo único . Importa renúncia tácita ao direito de queixa a prática de ato incompatível com a vontade de exercê-lo; não a implica, todavia, o fato de receber o ofendido a indenização do dano causado pelo crime. Perdão do ofendido"
105,"O perdão do ofendido, nos crimes em que somente se procede mediante queixa, obsta ao prosseguimento da ação."
106,"O perdão, no processo ou fora dele, expresso ou tácito: I – se concedido a qualquer dos querelados, a todos aproveita;43 Decreto-Lei no 2.848/1940 II – se concedido por um dos ofendidos, não prejudica o direito dos outros; III – se o querelado o recusa, não produz efeito."
107,"Extingue-se a punibilidade: I – pela morte do agente; II – pela anistia, graça ou indulto; III – pela retroatividade de lei que não mais considera o fato como criminoso; IV – pela prescrição, decadência ou perempção; V – pela renúncia do direito de queixa ou pelo perdão aceito, nos crimes de ação privada; VI – pela retratação do agente, nos casos em que a lei a admite; VII – (Revogado); VIII – (Revogado); IX – pelo perdão judicial, nos casos previstos em lei."
108,"A extinção da punibilidade de crime que é pressuposto, elemento constitutivo ou circunstância agravante de outro não se estende a este. Nos crimes conexos, a extinção da punibilidade de um deles não impede, quanto aos outros, a agravação da pena resultante da conexão.44 Código Penal Prescrição antes de transitar em julgado a sentença"
109,"A prescrição, antes de transitar em julgado a sentença final, salvo o disposto no § 1o do art. 110 deste Código, regula-se pelo máximo da pena privativa de liberdade cominada ao crime, verificando-se: I – em vinte anos, se o máximo da pena é superior a doze; II – em dezesseis anos, se o máximo da pena é superior a oito anos e não excede a doze; III – em doze anos, se o máximo da pena é superior a quatro anos e não excede a oito; IV – em oito anos, se o máximo da pena é superior a dois anos e não excede a quatro; V – em quatro anos, se o máximo da pena é igual a um ano ou, sendo superior, não excede a dois; VI – em 3 (três) anos, se o máximo da pena é inferior a 1 (um) ano. Prescrição das penas restritivas de direito Parágrafo único . Aplicam-se às penas restritivas de direito os mesmos prazos previstos para as privativas de liberdade. Prescrição depois de transitar em julgado sentença final condenatória"
110,"A prescrição depois de transitar em julgado a sentença condena - tória regula-se pela pena aplicada e verifica-se nos prazos fixados no artigo anterior, os quais se aumentam de um terço, se o condenado é reincidente."
111,"A prescrição, antes de transitar em julgado a sentença final, começa a correr: I – do dia em que o crime se consumou; II – no caso de tentativa, do dia em que cessou a atividade criminosa; III – nos crimes permanentes, do dia em que cessou a permanência; IV – nos de bigamia e nos de falsificação ou alteração de assentamento do registro civil, da data em que o fato se tornou conhecido; V – nos crimes contra a dignidade sexual de crianças e adolescentes, previstos neste Código ou em legislação especial, da data em que a vítima completar 18 (dezoito) anos, salvo se a esse tempo já houver sido proposta a ação penal. Termo inicial da prescrição após a sentença condenatória irrecorrível"
112,"No caso do art. 110 deste Código, a prescrição começa a correr: I – do dia em que transita em julgado a sentença condenatória, para a acusação, ou a que revoga a suspensão condicional da pena ou o livramento condicional; II – do dia em que se interrompe a execução, salvo quando o tempo da interrupção deva computar-se na pena. Prescrição no caso de evasão do condenado ou de revogação do livramento condicional"
113,"No caso de evadir-se o condenado ou de revogar-se o livramento condicional, a prescrição é regulada pelo tempo que resta da pena. Prescrição da multa"
114,"A prescrição da pena de multa ocorrerá: I – em 2 (dois) anos, quando a multa for a única cominada ou aplicada;46 Código Penal II – no mesmo prazo estabelecido para prescrição da pena privativa de liberdade, quando a multa for alternativa ou cumulativamente cominada ou cumulativamente aplicada. Redução dos prazos de prescrição"
115,"São reduzidos de metade os prazos de prescrição quando o criminoso era, ao tempo do crime, menor de 21 (vinte e um) anos, ou, na data da sentença, maior de 70 (setenta) anos. Causas impeditivas da prescrição"
